Rank,Country,Overall Score,Affordability,Availability,Quality and Safety,Sustainability and Adaptation,Life Exp,Obesity Rate,Ingredient Quality,Health Index,GDP,Health Exp.,HDI,Obese adults in Mil,Undernourished,"Cost of a healthy diet (CoHD), PPP dollar per person per day"
1,Finland,83.7,91.9,70.5,88.4,82.6,82.351,22.2,Heavily Regulated,70.9,300187202696.08,5613.00,0.94,1.00,0.00,3.29
2,Ireland,81.7,92.6,70.5,86.1,75.1,82.716,25.3,Heavily Regulated,55.3,545629450403.74,7196.31,0.95,1.10,0.00,2.48
3,Norway,80.5,87.2,60.4,86.8,87.4,83.393,23.1,Heavily Regulated,60.2,485513316503.63,8275.00,0.97,0.80,0.00,4.01
4,France,80.2,91.3,69,87.7,70.3,83.229,21.6,Heavily Regulated,61.9,3030904089607.90,6330.47,0.91,5.00,0.00,3.42
5,Netherlands,80.1,92.7,70.7,84.7,69.2,82.451,20.4,Heavily Regulated,64.7,1118124749886.29,7179.00,0.95,2.10,0.00,2.90
6,Japan,79.5,89.8,81.2,77.4,66.1,84.82,4.3,,60.5,4212945159781.40,4676.00,0.92,5.90,4.20,6.54
7,Sweden,79.1,91.9,68.3,85,68.3,83.505,20.6,,64.9,593267701033.41,6784.00,0.95,1.30,0.00,3.56
8,Canada,79.1,88.3,75.7,89.5,60.1,82.847,29.4,,69.8,2140085567791.45,6552.22,0.94,8.20,0.00,3.89
9,United Kingdom,78.8,91.5,71.6,77.6,71.1,82.156,27.8,,67.2,3340032380668.04,6159.80,0.94,14.30,0.00,2.12
10,Portugal,78.7,90,77,79.8,64.5,82.24,20.8,,54.7,287080013574.50,4091.00,0.87,1.90,0.00,3.52
11,Switzerland,78.2,89.2,76.8,73.5,69.5,84.255,19.5,Heavily Regulated,58.8,884940402230.41,8998.39,0.97,0.90,0.00,2.85
12,Austria,78.1,91.3,67.1,81.2,69.7,82.412,20.1,Heavily Regulated,56.9,516034144115.95,7272.00,0.93,1.10,0.00,2.76
13,United States,78,87.1,65.1,88.8,69.4,78.203,36.2,Lower Ingredient Regulation,75.9,27360935000000.00,12012.24,0.93,110.90,0.00,2.63
